Year - Month,Carrier,Departures,Miles,Seats,Passengers,Seat Utilization,Payload (lbs),Freight (lbs),Mail (lbs)
2018-10,40-Mile Air (Domestic),66,"5,064",264,71,27%,"72,600","7,304","1,313"
2018-10,ABX Air Inc (Atlantic),53,"95,824",0,0,-,"10,436,040","2,631,269",0
2018-10,ABX Air Inc (Domestic),855,"873,919",0,0,-,"165,541,140","49,378,369",0
2018-10,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways,227,"66,569","11,350","6,310",56%,"2,589,503",0,0
2018-10,"Air Charter, Inc d/b/a Air Flamenco (Domestic)",258,"10,364",720,231,32%,"543,000","86,278","101,775"
2018-10,Air Excursions LLC (Domestic),140,"5,740","1,198",347,29%,"375,598","19,525","7,701"
2018-10,Air Transport International (Domestic),"1,122","1,546,159",168,49,29%,"187,142,220","50,013,024",0
2018-10,Air Wisconsin Airlines Corp (Domestic),"8,661","3,225,475","433,050","345,781",80%,"106,390,080",0,0
2018-10,Alaska Airlines Inc. (Domestic),"22,193","28,463,970","3,468,321","2,788,538",80%,"914,731,700","13,620,965","5,320,173"
2018-10,Alaska Central Express (Domestic),"1,200","385,992",544,318,58%,"6,645,892","1,077,358","1,604,010"
2018-10,Allegiant Air (Domestic),"7,706","6,640,936","1,315,468","1,085,714",83%,"287,200,480",0,0
2018-10,Aloha Air Cargo (Domestic),571,"87,190",0,0,-,"19,985,000","4,381,297","1,842,827"
2018-10,American Airlines Inc. (Domestic),"78,569","78,224,164","12,424,055","10,307,105",83%,"3,344,773,460","20,502,648","14,842,660"
2018-10,Amerijet International (Domestic),86,"98,427",0,0,-,"9,660,000","5,480,642",0
2018-10,Amerijet International (Latin America),2,"2,328",0,0,-,"230,000","5,430",0
2018-10,Ameristar Air Cargo (Domestic),78,"54,527",540,168,31%,"1,719,822","257,902",0
2018-10,Arctic Transportation (Domestic),"1,428","125,912","2,525",346,14%,"5,637,800","1,034,258","916,938"
2018-10,Asia Pacific (International),40,"76,328",0,0,-,"2,113,000","574,770","375,960"
2018-10,Atlas Air Inc. (Domestic),"2,132","2,634,407","31,225","1,744",6%,"564,893,083","159,011,013",0
2018-10,Atlas Air Inc. (International),343,"561,568",8,0,0%,"73,460,280","16,397,889",0
2018-10,Avjet Corporation (Domestic),68,"64,600",735,163,22%,"147,000",0,0
2018-10,Bemidji Airlines (Domestic),55,"8,557",14,0,0%,"153,000","41,178",0
2018-10,Bering Air Inc. (Domestic),"3,350","296,591","30,055","14,284",48%,"11,493,750","267,056","743,239"
2018-10,Boutique Air (Domestic),"2,826","645,027","22,608","15,360",68%,"4,573,200",0,0
2018-10,Cape Air (Domestic),"8,010","874,792","70,488","39,365",56%,"14,453,800",0,"89,162"
2018-10,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airli",136,"96,198","21,080",442,2%,"4,760,000",0,0
2018-10,CFM Inc d/b/a Contour Airlines (Domestic),813,"259,889","17,345","10,482",60%,"3,469,000",0,0
2018-10,City Wings Inc dba Seaflight (Domestic),278,"12,510","2,502","1,975",79%,"681,100",0,0
2018-10,"Commutair Aka Champlain Enterprises, Inc. (Domestic)","4,312","1,549,997","215,600","176,315",82%,"55,085,800",0,0
2018-10,Compass Airlines (Domestic),"8,066","4,497,157","612,721","488,211",80%,"160,400,476",0,0
2018-10,Delta Air Lines Inc. (Domestic),"82,927","70,966,393","13,136,695","11,129,384",85%,"3,376,184,406","20,871,741","16,285,873"
2018-10,Delux Public Charter LLC (Domestic),885,"249,194","26,550","20,373",77%,"9,735,000",0,0
2018-10,"Dynamic Airways, LLC (Domestic)",3,"1,097",716,0,0%,"143,200",0,0
2018-10,Elite Airways LLC (Domestic),68,"71,248","3,400","2,035",60%,"1,128,400",0,0
2018-10,Ellis Air Taxi Inc. (Domestic),36,"3,672",108,8,7%,"50,400",149,"1,797"
2018-10,Endeavor Air Inc. (Domestic),"20,918","10,372,247","1,433,747","1,144,901",80%,"395,786,982",76,0
2018-10,Envoy Air (Domestic),"25,812","10,741,041","1,443,139","1,106,725",77%,"358,440,580","72,824",62
2018-10,Era Aviation (Domestic),"1,830","372,920","59,462","32,916",55%,"14,164,200","1,294,870","153,493"
2018-10,ExpressJet Airlines Inc. (Domestic),"15,234","6,976,744","811,094","632,777",78%,"173,840,240",0,0
2018-10,Federal Express Corporation (Domestic),"23,937","15,913,777",0,0,-,"1,955,563,275","1,064,463,813","10,424"
2018-10,Friday Harbor Seaplanes (Domestic),26,"2,080",156,59,38%,"35,880",0,0
2018-10,Frontier Airlines Inc. (Domestic),"10,195","10,286,649","1,930,654","1,646,359",85%,"386,817,200",0,0
2018-10,Frontier Airlines Inc. (Latin America),168,"237,446","37,624","31,675",84%,"7,529,600",0,0
2018-10,Gem Air LLC (Domestic),41,"6,478",265,59,22%,"81,937",15,0
2018-10,GoJet Airlines LLC d/b/a United Express (Domestic),"7,483","3,836,271","528,628","425,534",80%,"135,903,050",0,0
2018-10,"Grand Canyon Airlines, Inc. d/b/a Grand Canyon Airlines","1,798","95,963","21,416","18,943",88%,"6,053,900",0,0
2018-10,Grand Canyon Helicopters (Domestic),44,"2,596",264,0,0%,"74,400",0,44
2018-10,Grant Aviation (Domestic),"4,578","298,119","35,806","13,039",36%,"8,074,450","135,887","604,887"
2018-10,Gulf And Caribbean Cargo (Domestic),161,"119,880",0,0,-,"5,404,000","668,008",0
2018-10,Hageland Aviation Service (Domestic),"9,197","724,308","71,353","27,363",38%,"24,616,550","401,899","2,622,795"
2018-10,Harris Air Services (Domestic),277,"19,193","2,407",623,26%,"470,100","5,586",0
2018-10,Hawaiian Airlines Inc. (Domestic),"7,164","4,973,902","1,106,599","842,949",76%,"314,044,600","12,113,519","115,093"
2018-10,Hawaiian Airlines Inc. (Pacific),18,"46,782","5,004","3,713",74%,"1,916,200","29,943","11,748"
2018-10,Horizon Air (Domestic),"8,903","3,233,514","676,628","529,592",78%,"162,415,700","282,596","67,452"
2018-10,Iliamna Air Taxi (Domestic),499,"53,557","3,702","1,393",38%,"1,063,500","34,767","33,539"
2018-10,Island Air Service (Domestic),908,"33,929","5,371","1,588",30%,"1,118,200","69,920","24,790"
2018-10,JetBlue Airways (Domestic),"24,854","26,384,681","3,365,765","2,774,667",82%,"848,150,400",0,0
2018-10,Kalinin Aviation LLC d/b/a Alaska Seaplanes (Domestic),"1,317","88,582","10,738","4,393",41%,"3,009,059","189,883","119,376"
2018-10,Kalitta Air LLC (Domestic),569,"686,355",0,0,-,"149,261,100","53,915,747",0
2018-10,Kalitta Air LLC (International),3,"6,281",0,0,-,"1,442,700","500,823",0
2018-10,Kalitta Charters II (Domestic),362,"200,505",0,0,-,"16,666,061","6,441,543",0
2018-10,Katmai Air (Domestic),10,"2,350",79,66,84%,"17,865","6,129",0
2018-10,Kenmore Air Harbor (Domestic),988,"27,726","8,485","3,170",37%,"2,109,841","5,189",0
2018-10,Lynden Air Cargo Airlines (Domestic),192,"58,933",0,0,-,"9,024,000","2,797,112","1,196,711"
2018-10,Mesa Airlines Inc. (Domestic),"18,803","10,423,847","1,425,744","1,161,553",81%,"359,101,000","17,786","2,329"
2018-10,Miami Air International (Domestic),115,"83,578","19,909","5,500",28%,"4,887,500",0,0
2018-10,Miami Air International (International),4,"6,232",692,319,46%,"170,000",0,0
2018-10,"Mokulele Flight Services, Inc. (Domestic)","3,709","276,282","33,386","19,955",60%,"15,577,800",0,0
2018-10,"Multi-Aero, Inc. d/b/a Air Choice One (Domestic)","1,281","291,291","10,240","6,804",66%,"2,331,420",0,0
2018-10,National Air Cargo Group Inc d/ba National Airlines (Do,25,"23,206","3,781","1,896",50%,"3,257,000","413,876",0
2018-10,New England Airlines Inc. (Domestic),660,"11,220","5,256","2,620",50%,"1,051,200","3,600",0
2018-10,Northern Air Cargo Inc. (Domestic),553,"200,531",0,0,-,"18,186,255","6,460,290","3,073,110"
2018-10,Omni Air International LLC (Domestic),42,"110,542","9,321","7,909",85%,"2,949,420","134,508",0
2018-10,"Pacific Airways, Inc. (Domestic)",162,"4,592",972,257,26%,"194,400","7,964","10,317"
2018-10,"Paklook Air, Inc d/b/a/ Airlift Alaska (Domestic)","2,822","102,948","15,687","4,887",31%,"2,875,950","75,127","197,279"
2018-10,Peninsula Airways Inc. (Domestic),500,"239,628","20,410","11,669",57%,"4,340,640","33,611","129,329"
2018-10,Piedmont Airlines (Domestic),"8,848","2,215,723","442,400","345,214",78%,"113,033,200","48,558",683
2018-10,"PM Air, LLC (Domestic)",232,"16,240","2,320","1,779",77%,"510,400",0,0
2018-10,Polar Air Cargo Airways (Domestic),175,"475,335",0,0,-,"48,988,092","35,403,650",0
2018-10,PSA Airlines Inc. (Domestic),"23,579","9,212,592","1,548,806","1,176,719",76%,"421,253,120","149,207","19,515"
2018-10,"Reeve Air Alaska, LLC (Domestic)",18,"2,934",126,5,4%,"27,000",160,0
2018-10,Republic Airlines (Domestic),"26,678","15,553,204","1,975,500","1,528,648",77%,"591,525,350",0,0
2018-10,Rhoades Aviation dba Transair (Domestic),418,"54,508",0,0,-,"14,630,000","6,207,412",0
2018-10,Scott Air LLC dba Island Air Express (Domestic),504,"48,581","4,533","2,035",45%,"1,306,998","18,246","59,352"
2018-10,Seaborne Aviation (Domestic),708,"40,116","15,982","10,541",66%,"9,780,000",0,0
2018-10,Silver Airways (Domestic),"1,673","397,776","55,218","38,440",70%,"10,615,185",0,0
2018-10,Sky Lease Cargo (International),34,"77,860",0,0,-,"8,650,500","4,395,492",0
2018-10,SkyWest Airlines Inc. (Domestic),"66,866","31,934,755","4,208,166","3,329,757",79%,"982,421,945",0,0
2018-10,Smokey Bay Air Inc. (Domestic),995,"16,279","4,975","2,074",42%,"1,293,500","77,664","18,337"
2018-10,Southern Air Inc. (Domestic),314,"298,827",0,0,-,"39,608,350","12,842,591",0
2018-10,Southwest Airlines Co. (Domestic),"114,242","84,583,393","17,226,238","14,089,798",82%,"4,197,422,000","25,611,012",0
2018-10,Southwest Airlines Co. (Latin America),2,"1,495",318,180,57%,"78,000",0,0
2018-10,Spirit Air Lines (Domestic),"13,808","13,835,664","2,533,037","2,184,697",86%,"557,268,140",0,0
2018-10,Star Marianas Air Inc. (Domestic),"2,230","63,316","13,399","7,316",55%,"3,136,000","202,870",0
2018-10,Sun Air Express LLC dba Sun Air International (Domestic,"2,675","385,024","23,446","9,575",41%,"10,165,000",0,0
2018-10,Sun Country Airlines d/b/a MN Airlines (Domestic),"1,840","2,168,735","294,408","245,477",83%,"75,312,685","168,225","597,948"
2018-10,Tanana Air Service (Domestic),478,"18,562","3,339",733,22%,"659,250","19,730","137,770"
2018-10,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and,518,"164,447","1,530",485,32%,"10,764,053","1,626,405","2,383,648"
2018-10,Tradewind Aviation (Domestic),421,"92,981","3,368","1,606",48%,"1,485,750",0,0
