"Year...Month","Carrier","Departures","Miles","Seats","Passengers","Seat.Utilization"
"2018-10","40-Mile Air (Domestic)","66","5,064","264","71","27%"
"2018-10","Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways","227","66,569","11,350","6,310","56%"
"2018-10","Air Charter, Inc d/b/a Air Flamenco (Domestic)","258","10,364","720","231","32%"
"2018-10","Air Excursions LLC (Domestic)","140","5,740","1,198","347","29%"
"2018-10","Air Transport International (Domestic)","1,122","1,546,159","168","49","29%"
"2018-10","Air Wisconsin Airlines Corp (Domestic)","8,661","3,225,475","433,050","345,781","80%"
"2018-10","Alaska Airlines Inc. (Domestic)","22,193","28,463,970","3,468,321","2,788,538","80%"
"2018-10","Alaska Central Express (Domestic)","1,200","385,992","544","318","58%"
"2018-10","Allegiant Air (Domestic)","7,706","6,640,936","1,315,468","1,085,714","83%"
"2018-10","American Airlines Inc. (Domestic)","78,569","78,224,164","12,424,055","10,307,105","83%"
"2018-10","Ameristar Air Cargo (Domestic)","78","54,527","540","168","31%"
"2018-10","Arctic Transportation (Domestic)","1,428","125,912","2,525","346","14%"
"2018-10","Atlas Air Inc. (Domestic)","2,132","2,634,407","31,225","1,744","6%"
"2018-10","Atlas Air Inc. (International)","343","561,568","8","0","0%"
"2018-10","Avjet Corporation (Domestic)","68","64,600","735","163","22%"
"2018-10","Bemidji Airlines (Domestic)","55","8,557","14","0","0%"
"2018-10","Bering Air Inc. (Domestic)","3,350","296,591","30,055","14,284","48%"
"2018-10","Boutique Air (Domestic)","2,826","645,027","22,608","15,360","68%"
"2018-10","Cape Air (Domestic)","8,010","874,792","70,488","39,365","56%"
"2018-10","Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airli","136","96,198","21,080","442","2%"
"2018-10","CFM Inc d/b/a Contour Airlines (Domestic)","813","259,889","17,345","10,482","60%"
"2018-10","City Wings Inc dba Seaflight (Domestic)","278","12,510","2,502","1,975","79%"
"2018-10","Commutair Aka Champlain Enterprises, Inc. (Domestic)","4,312","1,549,997","215,600","176,315","82%"
"2018-10","Compass Airlines (Domestic)","8,066","4,497,157","612,721","488,211","80%"
"2018-10","Delta Air Lines Inc. (Domestic)","82,927","70,966,393","13,136,695","11,129,384","85%"
"2018-09","40-Mile Air (Domestic)","58","4,464","232","85","37%"
"2018-09","Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways","220","65,212","11,000","5,688","52%"
"2018-09","Air Charter, Inc d/b/a Air Flamenco (Domestic)","272","11,846","936","470","50%"
"2018-09","Air Excursions LLC (Domestic)","212","8,692","1,808","775","43%"
"2018-09","Air Sunshine Inc. (Domestic)","60","4,080","540","104","19%"
"2018-09","Air Wisconsin Airlines Corp (Domestic)","7,805","3,011,104","390,250","298,433","76%"
"2018-09","Alaska Airlines Inc. (Domestic)","21,637","27,823,600","3,390,960","2,684,464","79%"
"2018-09","Alaska Central Express (Domestic)","1,099","344,216","1,520","729","48%"
"2018-09","Allegiant Air (Domestic)","5,822","4,981,665","989,922","805,771","81%"
"2018-09","American Airlines Inc. (Domestic)","74,015","74,758,461","11,707,801","9,042,830","77%"
"2018-09","Arctic Transportation (Domestic)","1,484","125,790","3,202","349","11%"
"2018-09","Atlas Air Inc. (Domestic)","1,828","2,286,612","26,341","1,289","5%"
"2018-09","Avjet Corporation (Domestic)","69","63,038","620","136","22%"
"2018-09","Bemidji Airlines (Domestic)","51","7,761","13","0","0%"
"2018-09","Bering Air Inc. (Domestic)","3,023","268,296","27,255","11,709","43%"
"2018-09","Boutique Air (Domestic)","2,677","614,332","21,416","14,381","67%"
"2018-09","Cape Air (Domestic)","9,186","952,201","81,072","45,225","56%"
"2018-09","Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airli","109","78,427","16,895","229","1%"
"2018-09","CFM Inc d/b/a Contour Airlines (Domestic)","770","265,848","15,923","9,012","57%"
"2018-09","City Wings Inc dba Seaflight (Domestic)","280","12,600","2,520","1,859","74%"
"2018-09","Commutair Aka Champlain Enterprises, Inc. (Domestic)","4,346","1,479,535","217,300","170,833","79%"
"2018-09","Compass Airlines (Domestic)","7,908","4,400,100","600,802","464,665","77%"
"2018-09","Delta Air Lines Inc. (Domestic)","78,573","68,276,734","12,440,496","10,080,750","81%"
"2018-08","Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways","227","67,427","11,350","7,185","63%"
"2018-08","Air Charter, Inc d/b/a Air Flamenco (Domestic)","305","14,470","1,413","747","53%"
"2018-08","Air Excursions LLC (Domestic)","354","14,514","3,129","1,757","56%"
"2018-08","Air Sunshine Inc. (Domestic)","62","4,216","558","75","13%"
"2018-08","Air Wisconsin Airlines Corp (Domestic)","7,944","3,021,448","397,200","316,360","80%"
