"UNIQUE_CARRIER","UNIQUE_CARRIER_NAME","YEAR","MONTH","DEPARTURES_SCHEDULED","DEPARTURES_PERFORMED","SEATS","PASSENGERS","MONTHNAME","DATE","MONTHLY_NET_INCOME","MONTHLY_OP_PROFIT_LOSS","MONTHLY_OP_REVENUES","MONTHLY_OP_EXPENSES","SEAT_UTILIZATION"
"04Q","Tradewind Aviation",2017,1,148,217,1736,706,"Jan",2017-01-01,NA,NA,NA,NA,40.67
"04Q","Tradewind Aviation",2017,2,101,224,1792,820,"Feb",2017-02-01,NA,NA,NA,NA,45.76
"04Q","Tradewind Aviation",2017,3,87,200,1600,690,"Mar",2017-03-01,NA,NA,NA,NA,43.12
"04Q","Tradewind Aviation",2017,4,98,276,2208,1039,"Apr",2017-04-01,NA,NA,NA,NA,47.06
"04Q","Tradewind Aviation",2017,5,169,502,4016,2261,"May",2017-05-01,NA,NA,NA,NA,56.3
"04Q","Tradewind Aviation",2017,6,258,687,5496,3241,"Jun",2017-06-01,NA,NA,NA,NA,58.97
"04Q","Tradewind Aviation",2017,7,434,993,7946,5049,"Jul",2017-07-01,NA,NA,NA,NA,63.54
"04Q","Tradewind Aviation",2017,8,469,1030,8240,5248,"Aug",2017-08-01,NA,NA,NA,NA,63.69
"04Q","Tradewind Aviation",2017,9,226,620,4960,2747,"Sep",2017-09-01,NA,NA,NA,NA,55.38
"04Q","Tradewind Aviation",2017,10,131,318,2544,1303,"Oct",2017-10-01,NA,NA,NA,NA,51.22
"04Q","Tradewind Aviation",2017,11,312,501,4008,2208,"Nov",2017-11-01,NA,NA,NA,NA,55.09
"04Q","Tradewind Aviation",2017,12,235,368,2944,1700,"Dec",2017-12-01,NA,NA,NA,NA,57.74
"09Q","Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",2017,12,0,557,96437,24029,"Dec",2017-12-01,1084.535,1217.19,9591.81083333333,8374.62083333333,24.92
"09Q","Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",2017,11,0,497,85618,18103,"Nov",2017-11-01,1084.535,1217.19,9591.81083333333,8374.62083333333,21.14
"09Q","Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",2017,9,0,566,97274,22137,"Sep",2017-09-01,1084.535,1217.19,9591.81083333333,8374.62083333333,22.76
"09Q","Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",2017,1,0,457,64786,15821,"Jan",2017-01-01,1084.535,1217.19,9591.81083333333,8374.62083333333,24.42
"09Q","Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",2017,2,0,466,63244,19824,"Feb",2017-02-01,1084.535,1217.19,9591.81083333333,8374.62083333333,31.35
"09Q","Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",2017,3,0,543,94527,27837,"Mar",2017-03-01,1084.535,1217.19,9591.81083333333,8374.62083333333,29.45
"09Q","Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",2017,10,0,565,97765,22810,"Oct",2017-10-01,1084.535,1217.19,9591.81083333333,8374.62083333333,23.33
"09Q","Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",2017,5,0,317,56263,13259,"May",2017-05-01,1084.535,1217.19,9591.81083333333,8374.62083333333,23.57
"09Q","Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",2017,8,0,322,56678,19612,"Aug",2017-08-01,1084.535,1217.19,9591.81083333333,8374.62083333333,34.6
"09Q","Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",2017,6,0,248,43642,8797,"Jun",2017-06-01,1084.535,1217.19,9591.81083333333,8374.62083333333,20.16
"09Q","Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",2017,7,0,313,53907,12314,"Jul",2017-07-01,1084.535,1217.19,9591.81083333333,8374.62083333333,22.84
"09Q","Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",2017,4,0,361,60556,14650,"Apr",2017-04-01,1084.535,1217.19,9591.81083333333,8374.62083333333,24.19
"0MQ","Multi-Aero, Inc. d/b/a Air Choice One",2017,1,1532,1368,10520,5148,"Jan",2017-01-01,NA,NA,NA,NA,48.94
"0MQ","Multi-Aero, Inc. d/b/a Air Choice One",2017,2,1386,1344,18816,5485,"Feb",2017-02-01,NA,NA,NA,NA,29.15
"0MQ","Multi-Aero, Inc. d/b/a Air Choice One",2017,3,1508,1464,11712,7134,"Mar",2017-03-01,NA,NA,NA,NA,60.91
"0MQ","Multi-Aero, Inc. d/b/a Air Choice One",2017,4,1488,1464,11712,6731,"Apr",2017-04-01,NA,NA,NA,NA,57.47
"0MQ","Multi-Aero, Inc. d/b/a Air Choice One",2017,5,1550,1546,12368,7353,"May",2017-05-01,NA,NA,NA,NA,59.45
"0MQ","Multi-Aero, Inc. d/b/a Air Choice One",2017,6,1500,1486,11888,7678,"Jun",2017-06-01,NA,NA,NA,NA,64.59
"0MQ","Multi-Aero, Inc. d/b/a Air Choice One",2017,7,1494,1484,11872,7895,"Jul",2017-07-01,NA,NA,NA,NA,66.5
